entertainment,city,postcode,housenumber,street,state,address1,address2
Film Noir Cinema,New York,11222,122,Meserole Avenue,New York,Film Noir Cinema,"122 Meserole Avenue, New York, NY 11222, United States of America"
Brooklyn Center Stage Dance Studio,New York,11215,495,3rd Avenue,New York,Brooklyn Center Stage Dance Studio,"495 3rd Avenue, New York, NY 11215, United States of America"
SIR Stage37,New York,10018,508,West 37th Street,New York,SIR Stage37,"508 West 37th Street, New York, NY 10018, United States of America"
The Empty Circle,New York,11215,499,3rd Avenue,New York,The Empty Circle,"499 3rd Avenue, New York, NY 11215, United States of America"
Putting Green,New York,10019,N/A,6th Avenue,New York,Putting Green,"6th Avenue, New York, NY 10019, United States of America"
The Elizabeth Foundation for the Arts,New York,10018,323,West 39th Street,New York,The Elizabeth Foundation for the Arts,"323 West 39th Street, New York, NY 10018, United States of America"
The Robert Blackburn Printmaking Workshop (RBPMW),New York,10018,323,West 39th Street,New York,The Robert Blackburn Printmaking Workshop (RBPMW),"323 West 39th Street, New York, NY 10018, United States of America"
Miss Tic Escape Rooms,New York,11215,794,Union Street,New York,Miss Tic Escape Rooms,"794 Union Street, New York, NY 11215, United States of America"
Nederlander Theatre,New York,10018,208,West 41st Street,New York,Nederlander Theatre,"208 West 41st Street, New York, NY 10018, United States of America"
BBFL Gallery,New York,11215,300-302,7th Street,New York,BBFL Gallery,"300-302 7th Street, New York, NY 11215, United States of America"
Brooklyn Glass,New York,11215,143,13th Street,New York,Brooklyn Glass,"143 13th Street, New York, NY 11215, United States of America"
New Amsterdam Theatre,New York,10036,214,West 42nd Street,New York,New Amsterdam Theatre,"214 West 42nd Street, New York, NY 10036, United States of America"
Madame Tussauds New York,New York,10036,234,West 42nd Street,New York,Madame Tussauds New York,"234 West 42nd Street, New York, NY 10036, United States of America"
AMC Empire 25,New York,10036,234,West 42nd Street,New York,AMC Empire 25,"234 West 42nd Street, New York, NY 10036, United States of America"
Dave & Buster's,New York,10036,234,West 42nd Street,New York,Dave & Buster's,"234 West 42nd Street, New York, NY 10036, United States of America"
Jack,New York,11238,20,Putnam Avenue,New York,Jack,"20 Putnam Avenue, New York, NY 11238, United States of America"
The Gravity Vault Hoboken,Hoboken,07030,1423,Clinton Street,New Jersey,The Gravity Vault Hoboken,"1423 Clinton Street, Hoboken, NJ 07030, United States of America"
Bow Tie Cinemas,Hoboken,07030,409-415,14th Street,New Jersey,Bow Tie Cinemas,"409-415 14th Street, Hoboken, NJ 07030, United States of America"
Puppetworks,New York,11215,338,6th Avenue,New York,Puppetworks,"338 6th Avenue, New York, NY 11215, United States of America"
BAX,New York,11215,421,5th Avenue,New York,BAX,"421 5th Avenue, New York, NY 11215, United States of America"
New Victory Theater,New York,10036,209,West 42nd Street,New York,New Victory Theater,"209 West 42nd Street, New York, NY 10036, United States of America"
Lyric Theatre,New York,10036,213,West 42nd Street,New York,Lyric Theatre,"213 West 42nd Street, New York, NY 10036, United States of America"
American Airlines Theatre,New York,10036,227,West 42nd Street,New York,American Airlines Theatre,"227 West 42nd Street, New York, NY 10036, United States of America"
The Gravity Vault Hoboken,Hoboken,07030,1423,Clinton Street,New Jersey,The Gravity Vault Hoboken,"1423 Clinton Street, Hoboken, NJ 07030, United States of America"
Stephen Sondheim Theatre,New York,10036,124,West 43rd Street,New York,Stephen Sondheim Theatre,"124 West 43rd Street, New York, NY 10036, United States of America"
The Duke on 42nd Street,New York,10036,229,West 42nd Street,New York,The Duke on 42nd Street,"229 West 42nd Street, New York, NY 10036, United States of America"
Regal E-Walk Stadium 13 & RPX,New York,10036,247,West 42nd Street,New York,Regal E-Walk Stadium 13 & RPX,"247 West 42nd Street, New York, NY 10036, United States of America"
International Center of Photography,New York,10036,1133,6th Avenue,New York,International Center of Photography,"1133 6th Avenue, New York, NY 10036, United States of America"
The Town Hall,New York,10036,123,West 43rd Street,New York,The Town Hall,"123 West 43rd Street, New York, NY 10036, United States of America"
American Airlines Theatre,New York,10036,227,West 42nd Street,New York,American Airlines Theatre,"227 West 42nd Street, New York, NY 10036, United States of America"
Muddguts,New York,11211,427,Graham Avenue,New York,Muddguts,"427 Graham Avenue, New York, NY 11211, United States of America"
Theatre Row,New York,10036,410,West 42nd Street,New York,Theatre Row,"410 West 42nd Street, New York, NY 10036, United States of America"
Playwrights Horizons,New York,10036,416,West 42nd Street,New York,Playwrights Horizons,"416 West 42nd Street, New York, NY 10036, United States of America"
Belasco Theatre,New York,10036,111,West 44th Street,New York,Belasco Theatre,"111 West 44th Street, New York, NY 10036, United States of America"
Fiddler on The Roof,New York,10036,420,West 42nd Street,New York,Fiddler on The Roof,"420 West 42nd Street, New York, NY 10036, United States of America"
The Green Room 42,New York,10036,460,West 42nd Street,New York,The Green Room 42,"460 West 42nd Street, New York, NY 10036, United States of America"
Helen Hayes Theatre,New York,10036,240,West 44th Street,New York,Helen Hayes Theatre,"240 West 44th Street, New York, NY 10036, United States of America"
St. James Theatre,New York,10036,246,West 44th Street,New York,St. James Theatre,"246 West 44th Street, New York, NY 10036, United States of America"
Greenpoint Gallery,New York,11222,390,McGuinness Boulevard,New York,Greenpoint Gallery,"390 McGuinness Boulevard, New York, NY 11222, United States of America"
Underhill Playground,New York,11216,N/A,Prospect Place,New York,Underhill Playground,"Prospect Place, New York, NY 11216, United States of America"
Second Stage Theater,New York,10036,N/A,West 43rd Street,New York,Second Stage Theater,"West 43rd Street, New York, NY 10036, United States of America"
The Gallery Players Theater,New York,11215,199,14th Street,New York,The Gallery Players Theater,"199 14th Street, New York, NY 11215, United States of America"
PlayStation Theater,New York,10019,1515,Broadway,New York,PlayStation Theater,"1515 Broadway, New York, NY 10019, United States of America"
Shubert Theatre,New York,10036,225,West 44th Street,New York,Shubert Theatre,"225 West 44th Street, New York, NY 10036, United States of America"
Broadhurst Theatre,New York,10036,235,West 44th Street,New York,Broadhurst Theatre,"235 West 44th Street, New York, NY 10036, United States of America"
Majestic Theatre,New York,10036,245,West 44th Street,New York,Majestic Theatre,"245 West 44th Street, New York, NY 10036, United States of America"
Land Gallery & Studio,New York,11216,1101,Bedford Avenue,New York,Land Gallery & Studio,"1101 Bedford Avenue, New York, NY 11216, United States of America"
Booth Theatre,New York,10036,222,West 45th Street,New York,Booth Theatre,"222 West 45th Street, New York, NY 10036, United States of America"
GAMBA Forest,New York,11222,630,Humboldt Street,New York,GAMBA Forest,"630 Humboldt Street, New York, NY 11222, United States of America"
Gerald Schoenfeld Theatre,New York,10036,236,West 45th Street,New York,Gerald Schoenfeld Theatre,"236 West 45th Street, New York, NY 10036, United States of America"
Bernard B. Jacobs Theatre,New York,10036,242,West 45th Street,New York,Bernard B. Jacobs Theatre,"242 West 45th Street, New York, NY 10036, United States of America"
Minskoff Theatre,New York,10019,1515,Broadway,New York,Minskoff Theatre,"1515 Broadway, New York, NY 10019, United States of America"
Lyceum Theatre,New York,10036,149,West 45th Street,New York,Lyceum Theatre,"149 West 45th Street, New York, NY 10036, United States of America"
John Golden Theatre,New York,10036,252,West 45th Street,New York,John Golden Theatre,"252 West 45th Street, New York, NY 10036, United States of America"
Westside Theatre,New York,10036,407,West 43rd Street,New York,Westside Theatre,"407 West 43rd Street, New York, NY 10036, United States of America"
440 Gallery,New York,11215,440,6th Avenue,New York,440 Gallery,"440 6th Avenue, New York, NY 11215, United States of America"
Producers Club Theaters and Bar,New York,10036,358,West 44th Street,New York,Producers Club Theaters and Bar,"358 West 44th Street, New York, NY 10036, United States of America"
Al Hirschfeld Theatre,New York,10036,302,West 45th Street,New York,Al Hirschfeld Theatre,"302 West 45th Street, New York, NY 10036, United States of America"
N/A,Union City,07307,N/A,Willie Wolf Way,New Jersey,Willie Wolf Way,"Union City, NJ 07307, United States of America"
Music Box Theatre,New York,10036,239,West 45th Street,New York,Music Box Theatre,"239 West 45th Street, New York, NY 10036, United States of America"
Imperial Theater,New York,10036,249,West 45th Street,New York,Imperial Theater,"249 West 45th Street, New York, NY 10036, United States of America"
Loew's Jersey Theatre,Jersey City,07306,54,Journal Concourse Square West,New Jersey,Loew's Jersey Theatre,"54 Journal Concourse Square West, Jersey City, NJ 07306, United States of America"
Upright Citizens Brigade Theatre,New York,10036,555,West 42nd Street,New York,Upright Citizens Brigade Theatre,"555 West 42nd Street, New York, NY 10036, United States of America"
Richard Rodgers Theatre,New York,10036,226,West 46th Street,New York,Richard Rodgers Theatre,"226 West 46th Street, New York, NY 10036, United States of America"
