tranportation,city,postcode,housenumber,street,state,address1,address2
Comfort Inn,New York,10036,548,West 48th Street,New York,Comfort Inn,"548 West 48th Street, New York, NY 10036, United States of America"
Ink 48 Hotel,New York,10036,653,11th Avenue,New York,Ink 48 Hotel,"653 11th Avenue, New York, NY 10036, United States of America"
Washington Jefferson Hotel,New York,10019,318,West 51st Street,New York,Washington Jefferson Hotel,"318 West 51st Street, New York, NY 10019, United States of America"
Courtyard,New York,10035,N/A,3rd Avenue,New York,Courtyard,"3rd Avenue, New York, NY 10035, United States of America"
The Manhattan at Times Square Hotel,New York,10019,N/A,West 51st Street,New York,The Manhattan at Times Square Hotel,"West 51st Street, New York, NY 10019, United States of America"
Skyline Hotel,New York,10019,725,10th Avenue,New York,Skyline Hotel,"725 10th Avenue, New York, NY 10019, United States of America"
New York Moore Hostel,New York,11206,179,Moore Street,New York,New York Moore Hostel,"179 Moore Street, New York, NY 11206, United States of America"
Brooklyn Way Hotel Prospect Park,New York,11232,764,4th Avenue,New York,Brooklyn Way Hotel Prospect Park,"764 4th Avenue, New York, NY 11232, United States of America"
Baccarat Hotel & Residences,New York,10019,20,West 53rd Street,New York,Baccarat Hotel & Residences,"20 West 53rd Street, New York, NY 10019, United States of America"
Hampton,New York,10019,851,8th Avenue,New York,Hampton,"851 8th Avenue, New York, NY 10019, United States of America"
Sheraton New York Times Square Hotel,New York,10019,N/A,7th Avenue,New York,Sheraton New York Times Square Hotel,"7th Avenue, New York, NY 10019, United States of America"
Skyway Motel,Jersey City,07047,N/A,Tonnelle Avenue,New Jersey,Skyway Motel,"Tonnelle Avenue, Jersey City, NJ 07047, United States of America"
Hilton New York Midtown,New York,10019,1335,6th Avenue,New York,Hilton New York Midtown,"1335 6th Avenue, New York, NY 10019, United States of America"
The Brooklyn Hotel,New York,11216,1199,Atlantic Avenue,New York,The Brooklyn Hotel,"1199 Atlantic Avenue, New York, NY 11216, United States of America"
Warwick Hotel,New York,10019,65,West 54th Street,New York,Warwick Hotel,"65 West 54th Street, New York, NY 10019, United States of America"
"The Carvi Hotel New York, Ascend Hotel Collection",New York,10022,152,East 55th Street,New York,"The Carvi Hotel New York, Ascend Hotel Collection","152 East 55th Street, New York, NY 10022, United States of America"
The Peninsula New York,New York,10035,N/A,5th Avenue,New York,The Peninsula New York,"5th Avenue, New York, NY 10035, United States of America"
Conrad New York Midtown,New York,10019,151,West 54th Street,New York,Conrad New York Midtown,"151 West 54th Street, New York, NY 10019, United States of America"
adour alan ducasse,New York,10022,16,East 55th Street,New York,adour alan ducasse,"16 East 55th Street, New York, NY 10022, United States of America"
St Regis New York,New York,10022,2,East 55th Street,New York,St Regis New York,"2 East 55th Street, New York, NY 10022, United States of America"
Liberty View Brooklyn Hotel,New York,11232,826,4th Avenue,New York,Liberty View Brooklyn Hotel,"826 4th Avenue, New York, NY 11232, United States of America"
Ameritania at Times Square,New York,10019,230,West 54th Street,New York,Ameritania at Times Square,"230 West 54th Street, New York, NY 10019, United States of America"
Concorde Hotel,New York,10022,127,East 55th Street,New York,Concorde Hotel,"127 East 55th Street, New York, NY 10022, United States of America"
La Quinta,New York,11216,1229,Atlantic Avenue,New York,La Quinta,"1229 Atlantic Avenue, New York, NY 11216, United States of America"
Rodeway Inn,Jersey City,07307,459,Tonnelle Avenue,New Jersey,Rodeway Inn,"459 Tonnelle Avenue, Jersey City, NJ 07307, United States of America"
Hilton Garden Inn,New York,10019,237,West 54th Street,New York,Hilton Garden Inn,"237 West 54th Street, New York, NY 10019, United States of America"
