tranportation,city,postcode,street,state,address2,longitude,latitude
Broadway & Prince Street,New York,10003,Broadway,New York,"Broadway, New York, NY 10003, United States of America",-73.9980765,40.7240075
Battery Maritime Building,New York,10004,East River Greenway,New York,"East River Greenway, New York, NY 10004, United States of America",-74.0116105,40.7008035
Statue Cruises,New York,10004,Battery Park Underpass,New York,"Battery Park Underpass, New York, NY 10004, United States of America",-74.01736392652043,40.7032354
South Ferry/Terminal,New York,10004,Peter Minuit Plaza,New York,"Peter Minuit Plaza, New York, NY 10004, United States of America",-74.0138756,40.7015255
Spring Street,New York,10019,6th Avenue,New York,"6th Avenue, New York, NY 10019, United States of America",-74.0040137,40.7255399
,New York,10013,Spring Street,New York,"New York, NY 10013, United States of America",-74.0070789,40.7257352
6th Avenue & Spring Street,New York,10012,6th Avenue,New York,"6th Avenue, New York, NY 10012, United States of America",-74.0038242,40.7256902
Madison Street & Jefferson Street,New York,10002,Madison Street,New York,"Madison Street, New York, NY 10002, United States of America",-73.9888826,40.7128186
Battery Park,New York,10004,Battery Park Underpass,New York,"New York, NY 10004, United States of America",-74.0174644,40.7031131
Prince Street,New York,10003,Broadway,New York,"Broadway, New York, NY 10003, United States of America",-73.997702,40.724329
Spring Street & Greenwich Street,New York,10013,Spring Street,New York,"Spring Street, New York, NY 10013, United States of America",-74.0087025,40.725891
Bowery and Prince Street,New York,10012,Bowery,New York,"Bowery, New York, NY 10012, United States of America",-73.9935164,40.7221236
Hudson Street & Spring Street,New York,10014,Hudson Street,New York,"Hudson Street, New York, NY 10014, United States of America",-74.0074173,40.7260955
Whitehall,New York,10004,Battery Park Underpass,New York,"Battery Park Underpass, New York, NY 10004, United States of America",-74.013026,40.7005491
Madison Street & Jefferson Street,New York,10002,Madison Street,New York,"Madison Street, New York, NY 10002, United States of America",-73.9883535,40.7127387
Essex Street & Grand Street,New York,10002,Grand Street,New York,"Grand Street, New York, NY 10002, United States of America",-73.9891885,40.7168872
Allen Street & Delancey Street,New York,10002,Allen Street,New York,"Allen Street, New York, NY 10002, United States of America",-73.9904801,40.7194588
Grand Street & Essex Street,New York,10002,Grand Street,New York,"Grand Street, New York, NY 10002, United States of America",-73.9887263,40.7164539
Essex Street & Grand Street,New York,10002,Essex Street,New York,"Essex Street, New York, NY 10002, United States of America",-73.9888974,40.7169841
Old Fulton Street & Elizabeth Place,New York,11201,Old Fulton Street,New York,"Old Fulton Street, New York, NY 11201, United States of America",-73.9939594,40.7026065
Broadway & West Houston Street,New York,10003,Broadway,New York,"Broadway, New York, NY 10003, United States of America",-73.9971484,40.7251336
Varick Street & Charlton Street,New York,10014,Varick Street,New York,"Varick Street, New York, NY 10014, United States of America",-74.005719,40.7268914
Allen Street & Delancey Street,New York,10002,Allen Street,New York,"Allen Street, New York, NY 10002, United States of America",-73.9898545,40.7198157
Madison Street & Clinton Street,New York,10002,Madison Street,New York,"Madison Street, New York, NY 10002, United States of America",-73.987336,40.7129513
East Houston Street & Greene Street,New York,10014,West Houston Street,New York,"West Houston Street, New York, NY 10014, United States of America",-73.9981053,40.7258677
East Houston Street & Broadway,New York,10012,East Houston Street,New York,"East Houston Street, New York, NY 10012, United States of America",-73.9963397,40.7251814
Delancey Street & Ludlow Street,New York,10002,Delancey Street,New York,"Delancey Street, New York, NY 10002, United States of America",-73.9888299,40.7189098
Delancey Street & Essex Street,New York,10002,Delancey Street,New York,"Delancey Street, New York, NY 10002, United States of America",-73.9885294,40.7184727
6th Avenue & Prince Street,New York,10019,6th Avenue,New York,"6th Avenue, New York, NY 10019, United States of America",-74.0032191,40.7271874
Broadway–Lafayette Street,New York,10002,East Houston Street,New York,"East Houston Street, New York, NY 10002, United States of America",-73.996204,40.725297
West Houston Street & Mercer Street,New York,10014,West Houston Street,New York,"West Houston Street, New York, NY 10014, United States of America",-73.9969673,40.7256327
East Houston Street & Mulberry Street,New York,10012,Mulberry Street,New York,"Mulberry Street, New York, NY 10012, United States of America",-73.9951162,40.7248658
,New York,10012,MacDougal Street,New York,"New York, NY 10012, United States of America",-74.0027173,40.72724
Delancey Street,New York,10002,Delancey Street,New York,"New York, NY 10002, United States of America",-73.9881811,40.718428
West Houston Street & West Broadway,New York,10014,West Houston Street,New York,"West Houston Street, New York, NY 10014, United States of America",-73.9997495,40.7267181
East Houston Street & Crosby Street,New York,10012,East Houston Street,New York,"East Houston Street, New York, NY 10012, United States of America",-73.9960889,40.7254345
East Houston Street and Mulberry Street,New York,10012,East Houston Street,New York,"East Houston Street, New York, NY 10012, United States of America",-73.9939659,40.724467
Madison Street & Clinton Street,New York,10002,Madison Street,New York,"Madison Street, New York, NY 10002, United States of America",-73.9864975,40.7128619
West Houston Street & LaGuardia Place,New York,10014,West Houston Street,New York,"West Houston Street, New York, NY 10014, United States of America",-73.9996907,40.7269673
East Houston Street and Mulberry Street,New York,10002,East Houston Street,New York,"East Houston Street, New York, NY 10002, United States of America",-73.9944162,40.7249095
Essex Street,New York,10002,Delancey Street,New York,"Delancey Street, New York, NY 10002, United States of America",-73.9874236,40.7183982
East Houston Street & Bowery,New York,10012,East Houston Street,New York,"East Houston Street, New York, NY 10012, United States of America",-73.9922863,40.7238693
East Houston Street & Bowery,New York,10002,East Houston Street,New York,"East Houston Street, New York, NY 10002, United States of America",-73.9929879,40.7244218
Broadway & Bleecker Street,New York,10003,Broadway,New York,"Broadway, New York, NY 10003, United States of America",-73.9961882,40.726275
West Houston Street & MacDougal Street,New York,10012,West Houston Street,New York,"West Houston Street, New York, NY 10012, United States of America",-74.0023531,40.7279984
Essex Street & Rivington Street,New York,10002,Essex Street,New York,"Essex Street, New York, NY 10002, United States of America",-73.9877744,40.7196378
Madison Street & Montgomery Street,New York,10002,Madison Street,New York,"Madison Street, New York, NY 10002, United States of America",-73.9855192,40.7131084
Bleecker Street,New York,10012,Bleecker Street,New York,"New York, NY 10012, United States of America",-73.9946797,40.7259471
East Houston Street & Forsyth Street,New York,10002,East Houston Street,New York,"East Houston Street, New York, NY 10002, United States of America",-73.9907123,40.7233924
Houston Street,New York,10014,Varick Street,New York,"Varick Street, New York, NY 10014, United States of America",-74.0053077,40.7285993
Allen St & Stanton St,New York,10002,Allen Street,New York,"Allen Street, New York, NY 10002, United States of America",-73.9888443,40.7218224
West Houston Street & Hudson Street,New York,10014,West Houston Street,New York,"West Houston Street, New York, NY 10014, United States of America",-74.0068585,40.7288066
6th Avenue & West Houston Street,New York,10014,6th Avenue,New York,"6th Avenue, New York, NY 10014, United States of America",-74.002565,40.7286421
2nd Avenue,New York,10002,East Houston Street,New York,"East Houston Street, New York, NY 10002, United States of America",-73.989938,40.723402
Varick Street & Clarkson Street,New York,10014,Varick Street,New York,"Varick Street, New York, NY 10014, United States of America",-74.005375,40.7290101
Allen Street & East Houston Street,New York,10002,Allen Street,New York,"Allen Street, New York, NY 10002, United States of America",-73.9890059,40.7226138
