tranportation,city,postcode,housenumber,street,state,address1,address2
Broad Street,New York,10004,N/A,Broad Street,New York,Broad Street,"New York, NY 10004, United States of America"
Broadway and Exchange Alley,New York,10003,N/A,Broadway,New York,Broadway and Exchange Alley,"Broadway, New York, NY 10003, United States of America"
Water Street & Wall Street,New York,10004,N/A,Water Street,New York,Water Street & Wall Street,"Water Street, New York, NY 10004, United States of America"
Canal Street,New York,10003,N/A,Broadway,New York,Canal Street,"Broadway, New York, NY 10003, United States of America"
Murray Street & North End Avenue,New York,10282,N/A,Murray Street,New York,Murray Street & North End Avenue,"Murray Street, New York, NY 10282, United States of America"
Trinity Place/Exchange Alley,New York,10006,N/A,Trinity Place,New York,Trinity Place/Exchange Alley,"Trinity Place, New York, NY 10006, United States of America"
Water Street & Wall Street,New York,10004,N/A,Water Street,New York,Water Street & Wall Street,"Water Street, New York, NY 10004, United States of America"
South End Avenue & Gateway Plaza,New York,10280,N/A,South End Avenue,New York,South End Avenue & Gateway Plaza,"South End Avenue, New York, NY 10280, United States of America"
Rector Street,New York,10006,N/A,Trinity Place,New York,Rector Street,"Trinity Place, New York, NY 10006, United States of America"
Rector Street,New York,10006,N/A,Greenwich Street,New York,Rector Street,"Greenwich Street, New York, NY 10006, United States of America"
South End Avenue & Gateway Plaza,New York,10280,N/A,South End Avenue,New York,South End Avenue & Gateway Plaza,"South End Avenue, New York, NY 10280, United States of America"
6th Avenue & York Street,New York,10019,N/A,6th Avenue,New York,6th Avenue & York Street,"6th Avenue, New York, NY 10019, United States of America"
Madison St & Market St,New York,10002,N/A,Madison Street,New York,Madison St & Market St,"Madison Street, New York, NY 10002, United States of America"
Broadway and Grand Street,New York,10003,N/A,Broadway,New York,Broadway and Grand Street,"Broadway, New York, NY 10003, United States of America"
Broadway & Grand Street,New York,10003,N/A,Broadway,New York,Broadway & Grand Street,"Broadway, New York, NY 10003, United States of America"
Water Street & Old Slip,New York,10004,N/A,Water Street,New York,Water Street & Old Slip,"Water Street, New York, NY 10004, United States of America"
Canal Street,New York,10005,N/A,Canal Street,New York,Canal Street,"New York, NY 10005, United States of America"
51 Chrystie St,New York,10002,N/A,Chrystie Street,New York,51 Chrystie St,"Chrystie Street, New York, NY 10002, United States of America"
East Broadway & Forsyth Street,New York,11201,N/A,Manhattan Bridge,New York,East Broadway & Forsyth Street,"Manhattan Bridge, New York, NY 11201, United States of America"
Madison Street & Market Street,New York,10002,N/A,Madison Street,New York,Madison Street & Market Street,"Madison Street, New York, NY 10002, United States of America"
Brookfield Place / Battery Park City Ferry Terminal,New York,10285,N/A,Battery Park City Greenway,New York,Brookfield Place / Battery Park City Ferry Terminal,"Battery Park City Greenway, New York, NY 10285, United States of America"
bus,New York,10002,87,Bowery,New York,bus,"87 Bowery, New York, NY 10002, United States of America"
Water Street & Hanover Square,New York,10004,N/A,Water Street,New York,Water Street & Hanover Square,"Water Street, New York, NY 10004, United States of America"
IKEA Ferry,New York,10041,N/A,Pier 11,New York,IKEA Ferry,"Pier 11, New York, NY 10041, United States of America"
Centre Street & Grand Street,New York,10013,N/A,Centre Street,New York,Centre Street & Grand Street,"Centre Street, New York, NY 10013, United States of America"
Bowery & Hester Street,New York,10012,N/A,Bowery,New York,Bowery & Hester Street,"Bowery, New York, NY 10012, United States of America"
West Thames Street & South End Avenue,New York,10280,N/A,West Thames Street,New York,West Thames Street & South End Avenue,"West Thames Street, New York, NY 10280, United States of America"
West Thames Street & South End Avenue,New York,10280,N/A,West Thames Street,New York,West Thames Street & South End Avenue,"West Thames Street, New York, NY 10280, United States of America"
Battery Place & 3rd Place,New York,10280,N/A,Battery Place,New York,Battery Place & 3rd Place,"Battery Place, New York, NY 10280, United States of America"
6th Avenue & Thompson Street,New York,10019,N/A,6th Avenue,New York,6th Avenue & Thompson Street,"6th Avenue, New York, NY 10019, United States of America"
Canal Street,New York,10005,N/A,Canal Street,New York,Canal Street,"New York, NY 10005, United States of America"
Bowery & Grand Street,New York,10012,N/A,Bowery,New York,Bowery & Grand Street,"Bowery, New York, NY 10012, United States of America"
Broadway & Broome Street,New York,10003,N/A,Broadway,New York,Broadway & Broome Street,"Broadway, New York, NY 10003, United States of America"
Broadway & Battery Place,New York,10275,N/A,Broadway,New York,Broadway & Battery Place,"Broadway, New York, NY 10275, United States of America"
Pike Street & Madison Street,New York,10002,N/A,Pike Street,New York,Pike Street & Madison Street,"Pike Street, New York, NY 10002, United States of America"
Battery Place & 3rd Place,New York,10280,N/A,Battery Place,New York,Battery Place & 3rd Place,"Battery Place, New York, NY 10280, United States of America"
Greenwich Street at Battery Place,New York,10275,N/A,Battery Place,New York,Greenwich Street at Battery Place,"Battery Place, New York, NY 10275, United States of America"
Bowling Green,New York,10275,N/A,Battery Place,New York,Bowling Green,"Battery Place, New York, NY 10275, United States of America"
Pier 11/Wall Street Terminal,New York,10041,N/A,Pier 11,New York,Pier 11/Wall Street Terminal,"Pier 11, New York, NY 10041, United States of America"
Pike Street & Division Street,New York,10002,N/A,Pike Street,New York,Pike Street & Division Street,"Pike Street, New York, NY 10002, United States of America"
Black Deagon Bus Station,New York,10002,5,Pike Street,New York,Black Deagon Bus Station,"5 Pike Street, New York, NY 10002, United States of America"
East Broadway & Pike Street,New York,10002,N/A,East Broadway,New York,East Broadway & Pike Street,"East Broadway, New York, NY 10002, United States of America"
6th Avenue & Grand Street,New York,10019,N/A,6th Avenue,New York,6th Avenue & Grand Street,"6th Avenue, New York, NY 10019, United States of America"
