hotel,city,postcode,housenumber,street,state,address1,address2
L Hotel,New York,11232,135,32nd Street,New York,L Hotel,"135 32nd Street, New York, NY 11232, United States of America"
Da Vinci Hotel,New York,10019,244,West 56th Street,New York,Da Vinci Hotel,"244 West 56th Street, New York, NY 10019, United States of America"
Best Western,New York,11216,1324,Atlantic Avenue,New York,Best Western,"1324 Atlantic Avenue, New York, NY 11216, United States of America"
New York Loft Hostel,New York,11206,249,Varet Street,New York,New York Loft Hostel,"249 Varet Street, New York, NY 11206, United States of America"
Jazz on Columbus Circle Hostel,New York,10019,940,8th Avenue,New York,Jazz on Columbus Circle Hostel,"940 8th Avenue, New York, NY 10019, United States of America"
West 57th Street,New York,10019,102,West 57th Street,New York,West 57th Street,"102 West 57th Street, New York, NY 10019, United States of America"
"Le Meridien New York, Central Park",New York,10019,120,West 57th Street,New York,"Le Meridien New York, Central Park","120 West 57th Street, New York, NY 10019, United States of America"
Four Seasons Hotel,New York,10022,57,East 57th Street,New York,Four Seasons Hotel,"57 East 57th Street, New York, NY 10022, United States of America"
Stonehenge 57,New York,10022,400,East 57th Street,New York,Stonehenge 57,"400 East 57th Street, New York, NY 10022, United States of America"
Hotel BPM,New York,11232,137,33rd Street,New York,Hotel BPM,"137 33rd Street, New York, NY 11232, United States of America"
The Quin,New York,10019,101,West 57th Street,New York,The Quin,"101 West 57th Street, New York, NY 10019, United States of America"
AKA Central Park,New York,10019,42,West 58th Street,New York,AKA Central Park,"42 West 58th Street, New York, NY 10019, United States of America"
"Hotel Bogart Street, Brooklyn",New York,11206,N/A,Bogart Street,New York,"Hotel Bogart Street, Brooklyn","Bogart Street, New York, NY 11206, United States of America"
Park Hyatt New York,New York,10019,153,West 57th Street,New York,Park Hyatt New York,"153 West 57th Street, New York, NY 10019, United States of America"
1 Hotel Central Park,New York,10019,1414,6th Avenue,New York,1 Hotel Central Park,"1414 6th Avenue, New York, NY 10019, United States of America"
Days Inn,Jersey City,07307,750,Tonnelle Avenue,New Jersey,Days Inn,"750 Tonnelle Avenue, Jersey City, NJ 07307, United States of America"
The Plaza,New York,10019,768,5th Avenue,New York,The Plaza,"768 5th Avenue, New York, NY 10019, United States of America"
Park Lane Hotel,New York,10019,36,Central Park South,New York,Park Lane Hotel,"36 Central Park South, New York, NY 10019, United States of America"
The Ritz-Carlton,New York,10019,50,Central Park South,New York,The Ritz-Carlton,"50 Central Park South, New York, NY 10019, United States of America"
The Watson Hotel,New York,10019,440,West 57th Street,New York,The Watson Hotel,"440 West 57th Street, New York, NY 10019, United States of America"
The Brooklyn Riviera Hostel,New York,11216,781,Prospect Place,New York,The Brooklyn Riviera Hostel,"781 Prospect Place, New York, NY 11216, United States of America"
JW Marriott Essex House,New York,10019,160,Central Park South,New York,JW Marriott Essex House,"160 Central Park South, New York, NY 10019, United States of America"
6 Columbus,New York,10019,308,West 58th Street,New York,6 Columbus,"308 West 58th Street, New York, NY 10019, United States of America"
Sherry Netherlands,New York,10022,N/A,East 59th Street,New York,Sherry Netherlands,"East 59th Street, New York, NY 10022, United States of America"
The Local NY,New York,11101,N/A,44th Avenue,New York,The Local NY,"44th Avenue, New York, NY 11101, United States of America"
Fairfield Inn Long Island City/Manhattan View,New York,11101,52-34,Van Dam Street,New York,Fairfield Inn Long Island City/Manhattan View,"52-34 Van Dam Street, New York, NY 11101, United States of America"
LIC Hotel,New York,11101,44-02,21st Street,New York,LIC Hotel,"44-02 21st Street, New York, NY 11101, United States of America"
Graduate Roosevelt Island,New York,10044,22,North Loop Road,New York,Graduate Roosevelt Island,"22 North Loop Road, New York, NY 10044, United States of America"
The Pierre,New York,10021,N/A,East 61st Street,New York,The Pierre,"East 61st Street, New York, NY 10021, United States of America"
Comfort Inn,New York,11232,353,38th Street,New York,Comfort Inn,"353 38th Street, New York, NY 11232, United States of America"
Feather Factory Hotel,New York,11101,26-32,Skillman Avenue,New York,Feather Factory Hotel,"26-32 Skillman Avenue, New York, NY 11101, United States of America"
Fairfield Inn & Suites by Marriott New York Manhattan/Central Park,New York,10019,534,West 58th Street,New York,Fairfield Inn & Suites by Marriott New York Manhattan/Central Park,"534 West 58th Street, New York, NY 10019, United States of America"
Mandarin Oriental,New York,10023,80,Columbus Circle,New York,Mandarin Oriental,"80 Columbus Circle, New York, NY 10023, United States of America"
Z NYC Hotel,New York,11101,11-01,11th Street,New York,Z NYC Hotel,"11-01 11th Street, New York, NY 11101, United States of America"
Trump International Hotel and Tower,New York,10023,1,Central Park West,New York,Trump International Hotel and Tower,"1 Central Park West, New York, NY 10023, United States of America"
The Palladin,New York,10062,N/A,East 62nd Street,New York,The Palladin,"East 62nd Street, New York, NY 10062, United States of America"
City View Inn,New York,11101,3317,Greenpoint Avenue,New York,City View Inn,"3317 Greenpoint Avenue, New York, NY 11101, United States of America"
Ravel Hotel,New York,11101,8-08,Queens Plaza South,New York,Ravel Hotel,"8-08 Queens Plaza South, New York, NY 11101, United States of America"
N/A,New York,10037,692,Madison Avenue,New York,692 Madison Avenue,"New York, NY 10037, United States of America"
N/A,New York,10037,692,Madison Avenue,New York,692 Madison Avenue,"New York, NY 10037, United States of America"
She-Fah Hotel,Union City,07087,N/A,29th Street,New Jersey,She-Fah Hotel,"29th Street, Union City, NJ 07087, United States of America"
The Bentley Hotel,New York,10065,500,East 62nd Street,New York,The Bentley Hotel,"500 East 62nd Street, New York, NY 10065, United States of America"
N/A,North Bergen,07087,1631,John F. Kennedy Boulevard,New Jersey,1631 John F. Kennedy Boulevard,"North Bergen, NJ 07087, United States of America"
Quality Suites Nyc Gateway,North Bergen,07047,1200,Tonnelle Avenue,New Jersey,Quality Suites Nyc Gateway,"1200 Tonnelle Avenue, North Bergen, NJ 07047, United States of America"
Hyatt Place,New York,11101,27-03,43rd Avenue,New York,Hyatt Place,"27-03 43rd Avenue, New York, NY 11101, United States of America"
Days Inn,New York,11232,437,39th Street,New York,Days Inn,"437 39th Street, New York, NY 11232, United States of America"
Wyndham Garden,New York,11232,457,39th Street,New York,Wyndham Garden,"457 39th Street, New York, NY 11232, United States of America"
Plaza Athénée,New York,10065,37,East 64th Street,New York,Plaza Athénée,"37 East 64th Street, New York, NY 10065, United States of America"
The Empire Hotel,New York,10023,44,West 63rd Street,New York,The Empire Hotel,"44 West 63rd Street, New York, NY 10023, United States of America"
The Gardens Sonesta ES Suites New York,New York,10065,215,East 64th Street,New York,Gardens Suites Hotel by Affinia,"215 East 64th Street, New York, NY 10065, United States of America"
West Side YMCA,New York,10023,N/A,West 63rd Street,New York,West Side YMCA,"West 63rd Street, New York, NY 10023, United States of America"
Phoenix Hotel,New York,11232,517,39th Street,New York,Phoenix Hotel,"517 39th Street, New York, NY 11232, United States of America"
Aloft Long Island City,New York,11101,N/A,Jackson Avenue,New York,Aloft Long Island City,"Jackson Avenue, New York, NY 11101, United States of America"
Red Lion Inn & Suites,New York,11101,42-24,Crescent Street,New York,Red Lion Inn & Suites,"42-24 Crescent Street, New York, NY 11101, United States of America"
Quality Inn,New York,11220,4410,3rd Avenue,New York,Quality Inn,"4410 3rd Avenue, New York, NY 11220, United States of America"
The Vue Hotel Express,New York,11232,N/A,39th Street,New York,The Vue Hotel Express,"39th Street, New York, NY 11232, United States of America"
Hotel 21,New York,11101,41-03,21st Street,New York,Hotel 21,"41-03 21st Street, New York, NY 11101, United States of America"
Days Inn,New York,11101,3136,Queens Boulevard,New York,Days Inn,"3136 Queens Boulevard, New York, NY 11101, United States of America"
King Hotel,New York,11232,646,39th Street,New York,King Hotel,"646 39th Street, New York, NY 11232, United States of America"
The Vue Hotel,New York,11101,40-47,22nd Street,New York,The Vue Hotel,"40-47 22nd Street, New York, NY 11101, United States of America"
Q4 hotel,New York,11101,N/A,Queens Plaza North,New York,Q4 hotel,"Queens Plaza North, New York, NY 11101, United States of America"
Courtyard,New York,11101,29-15,Queens Plaza North,New York,Courtyard,"29-15 Queens Plaza North, New York, NY 11101, United States of America"
EnVue,Weehawken,07086,550,Avenue at Port Imperial,New Jersey,EnVue,"550 Avenue at Port Imperial, Weehawken, NJ 07086, United States of America"
Hilton Garden Inn,New York,11101,29-21,41st Avenue,New York,Hilton Garden Inn,"29-21 41st Avenue, New York, NY 11101, United States of America"
N/A,New York,11101,40-30,Crescent Street,New York,40-30 Crescent Street,"New York, NY 11101, United States of America"
Wingate by Wyndham Long Island City,New York,11101,N/A,12th Street,New York,Wingate by Wyndham Long Island City,"12th Street, New York, NY 11101, United States of America"
Country Inn & Suites by Carlson,New York,11101,40-34,Crescent Street,New York,Country Inn & Suites by Carlson,"40-34 Crescent Street, New York, NY 11101, United States of America"
Mayflower Howard Johnson Hotel,New York,11101,N/A,12th Street,New York,Mayflower Howard Johnson Hotel,"12th Street, New York, NY 11101, United States of America"
