public_transport,city,address1,address2
Chinatowns Communter Van,New York,Chinatowns Communter Van,"Division Street, New York, NY 10002, United States of America"
Trinity Place & Rector Street,New York,Trinity Place & Rector Street,"Trinity Place, New York, NY 10006, United States of America"
Canal Street,New York,Canal Street,"Centre Street, New York, NY 10013, United States of America"
Canal Street,New York,Canal Street,"New York, NY 10013, United States of America"
Canal Street,New York,Canal Street,"Lafayette Street, New York, NY 10013, United States of America"
N/A,New York,Walker Street,"New York, NY 10013, United States of America"
Harrison Street & West Street,New York,Harrison Street & West Street,"Harrison Street, New York, NY 10013, United States of America"
Hudson Street & North Moore Street,New York,Hudson Street & North Moore Street,"Hudson Street, New York, NY 10014, United States of America"
Broad Street,New York,Broad Street,"New York, NY 10004, United States of America"
Broadway and Exchange Alley,New York,Broadway and Exchange Alley,"Broadway, New York, NY 10003, United States of America"
Water Street & Wall Street,New York,Water Street & Wall Street,"Water Street, New York, NY 10004, United States of America"
Canal Street,New York,Canal Street,"Broadway, New York, NY 10003, United States of America"
Murray Street & North End Avenue,New York,Murray Street & North End Avenue,"Murray Street, New York, NY 10282, United States of America"
Trinity Place/Exchange Alley,New York,Trinity Place/Exchange Alley,"Trinity Place, New York, NY 10006, United States of America"
Water Street & Wall Street,New York,Water Street & Wall Street,"Water Street, New York, NY 10004, United States of America"
South End Avenue & Gateway Plaza,New York,South End Avenue & Gateway Plaza,"South End Avenue, New York, NY 10280, United States of America"
Rector Street,New York,Rector Street,"Trinity Place, New York, NY 10006, United States of America"
Rector Street,New York,Rector Street,"Greenwich Street, New York, NY 10006, United States of America"
South End Avenue & Gateway Plaza,New York,South End Avenue & Gateway Plaza,"South End Avenue, New York, NY 10280, United States of America"
6th Avenue & York Street,New York,6th Avenue & York Street,"6th Avenue, New York, NY 10005, United States of America"
Madison St & Market St,New York,Madison St & Market St,"Madison Street, New York, NY 10002, United States of America"
Broadway and Grand Street,New York,Broadway and Grand Street,"Broadway, New York, NY 10003, United States of America"
Broadway & Grand Street,New York,Broadway & Grand Street,"Broadway, New York, NY 10003, United States of America"
Water Street & Old Slip,New York,Water Street & Old Slip,"Water Street, New York, NY 10004, United States of America"
Canal Street,New York,Canal Street,"New York, NY 10005, United States of America"
51 Chrystie St,New York,51 Chrystie St,"Chrystie Street, New York, NY 10002, United States of America"
East Broadway & Forsyth Street,New York,East Broadway & Forsyth Street,"Manhattan Bridge, New York, NY 11201, United States of America"
Madison Street & Market Street,New York,Madison Street & Market Street,"Madison Street, New York, NY 10002, United States of America"
Brookfield Place / Battery Park City Ferry Terminal,New York,Brookfield Place / Battery Park City Ferry Terminal,"Battery Park City Greenway, New York, NY 10285, United States of America"
bus,New York,bus,"87 Bowery, New York, NY 10002, United States of America"
Water Street & Hanover Square,New York,Water Street & Hanover Square,"Water Street, New York, NY 10004, United States of America"
IKEA Ferry,New York,IKEA Ferry,"Pier 11, New York, NY 10041, United States of America"
Centre Street & Grand Street,New York,Centre Street & Grand Street,"Centre Street, New York, NY 10013, United States of America"
Bowery & Hester Street,New York,Bowery & Hester Street,"Bowery, New York, NY 10012, United States of America"
West Thames Street & South End Avenue,New York,West Thames Street & South End Avenue,"West Thames Street, New York, NY 10280, United States of America"
West Thames Street & South End Avenue,New York,West Thames Street & South End Avenue,"West Thames Street, New York, NY 10280, United States of America"
Battery Place & 3rd Place,New York,Battery Place & 3rd Place,"Battery Place, New York, NY 10280, United States of America"
6th Avenue & Thompson Street,New York,6th Avenue & Thompson Street,"6th Avenue, New York, NY 10005, United States of America"
Canal Street,New York,Canal Street,"New York, NY 10005, United States of America"
Bowery & Grand Street,New York,Bowery & Grand Street,"Bowery, New York, NY 10012, United States of America"
Broadway & Broome Street,New York,Broadway & Broome Street,"Broadway, New York, NY 10003, United States of America"
Broadway & Battery Place,New York,Broadway & Battery Place,"Broadway, New York, NY 10275, United States of America"
Pike Street & Madison Street,New York,Pike Street & Madison Street,"Pike Street, New York, NY 10002, United States of America"
Battery Place & 3rd Place,New York,Battery Place & 3rd Place,"Battery Place, New York, NY 10280, United States of America"
Greenwich Street at Battery Place,New York,Greenwich Street at Battery Place,"Greenwich Street, New York, NY 10275, United States of America"
Bowling Green,New York,Bowling Green,"Battery Place, New York, NY 10275, United States of America"
Pier 11/Wall Street Terminal,New York,Pier 11/Wall Street Terminal,"Pier 11, New York, NY 10041, United States of America"
Pike Street & Division Street,New York,Pike Street & Division Street,"Pike Street, New York, NY 10002, United States of America"
Black Deagon Bus Station,New York,Black Deagon Bus Station,"5 Pike Street, New York, NY 10002, United States of America"
East Broadway & Pike Street,New York,East Broadway & Pike Street,"East Broadway, New York, NY 10002, United States of America"
6th Avenue & Grand Street,New York,6th Avenue & Grand Street,"6th Avenue, New York, NY 10005, United States of America"
Bowery & Grand Street,New York,Bowery & Grand Street,"Bowery, New York, NY 10012, United States of America"
Water St & Broad St,New York,Water St & Broad St,"Water Street, New York, NY 10004, United States of America"
Madison Street & Pike Street,New York,Madison Street & Pike Street,"Madison Street, New York, NY 10002, United States of America"
Varick Street & Watts Street,New York,Varick Street & Watts Street,"Varick Street, New York, NY 10005, United States of America"
Madison Street & Pike Street,New York,Madison Street & Pike Street,"Madison Street, New York, NY 10002, United States of America"
Grand Street,New York,Grand Street,"New York, NY 10002, United States of America"
East Broadway & Pike Street,New York,East Broadway & Pike Street,"East Broadway, New York, NY 10002, United States of America"
Battery Place & Washington Street,New York,Battery Place & Washington Street,"Battery Place, New York, NY 10280, United States of America"
FlixBus NYC 28 Allen St.,New York,FlixBus NYC 28 Allen St.,"Allen Street, New York, NY 10002, United States of America"
Whitehall Street–South Ferry,New York,Whitehall Street–South Ferry,"Whitehall Street, New York, NY 10004, United States of America"
Broad Street & Water Street,New York,Broad Street & Water Street,"Broad Street, New York, NY 10004, United States of America"
Allen Street & Hester Street,New York,Allen Street & Hester Street,"Allen Street, New York, NY 10002, United States of America"
Broadway & Spring Street,New York,Broadway & Spring Street,"Broadway, New York, NY 10003, United States of America"
State Street & Bridge Street,New York,State Street & Bridge Street,"State Street, New York, NY 10275, United States of America"
Bowery & Kenmare Street,New York,Bowery & Kenmare Street,"Bowery, New York, NY 10012, United States of America"
Spring Street,New York,Spring Street,"Lafayette Street, New York, NY 10012, United States of America"
Battery Place & West Street,New York,Battery Place & West Street,"Battery Place, New York, NY 10280, United States of America"
East Broadway & Rutgers Street,New York,East Broadway & Rutgers Street,"East Broadway, New York, NY 10002, United States of America"
6th Avenue & Broome Street,New York,6th Avenue & Broome Street,"6th Avenue, New York, NY 10005, United States of America"
Battery Place / West Street,New York,Battery Place / West Street,"Battery Park City Greenway, New York, NY 10280, United States of America"
DUMBO/BBP Pier 1,New York,DUMBO/BBP Pier 1,"Brooklyn Bridge Park Greenway, New York, NY 11201, United States of America"
Bowery,New York,Bowery,"Delancey Street, New York, NY 10002, United States of America"
Rutgers Street & Canal Street,New York,Rutgers Street & Canal Street,"Rutgers Street, New York, NY 10002, United States of America"
South Street & Whitehall Street,New York,South Street & Whitehall Street,"South Street, New York, NY 10038, United States of America"
East Broadway,New York,East Broadway,"Rutgers Street, New York, NY 10002, United States of America"
Allen Street & Grand Street,New York,Allen Street & Grand Street,"Allen Street, New York, NY 10002, United States of America"
South Ferry/Terminal,New York,South Ferry/Terminal,"Peter Minuit Plaza, New York, NY 10004, United States of America"
Essex Street & Canal Street,New York,Essex Street & Canal Street,"Essex Street, New York, NY 10002, United States of America"
South St & Whitehall St,New York,South St & Whitehall St,"South Street, New York, NY 10038, United States of America"
South Ferry,New York,South Ferry,"Peter Minuit Plaza, New York, NY 10004, United States of America"
Allen Street & Grand Street,New York,Allen Street & Grand Street,"Allen Street, New York, NY 10002, United States of America"
Staten Island Ferry Whitehall Terminal,New York,Staten Island Ferry Whitehall Terminal,"4 South Street, New York, NY 10004, United States of America"
Broadway & Prince Street,New York,Broadway & Prince Street,"Broadway, New York, NY 10003, United States of America"
Battery Maritime Building,New York,Battery Maritime Building,"East River Greenway, New York, NY 10004, United States of America"
Statue Cruises,New York,Statue Cruises,"Battery Park Underpass, New York, NY 10004, United States of America"
South Ferry/Terminal,New York,South Ferry/Terminal,"Peter Minuit Plaza, New York, NY 10004, United States of America"
Spring Street,New York,Spring Street,"6th Avenue, New York, NY 10019, United States of America"
N/A,New York,Spring Street,"New York, NY 10013, United States of America"
6th Avenue & Spring Street,New York,6th Avenue & Spring Street,"Spring Street, New York, NY 10012, United States of America"
Madison Street & Jefferson Street,New York,Madison Street & Jefferson Street,"Madison Street, New York, NY 10002, United States of America"
Battery Park,New York,Battery Park Underpass,"New York, NY 10004, United States of America"
Prince Street,New York,Prince Street,"Broadway, New York, NY 10003, United States of America"
Spring Street & Greenwich Street,New York,Spring Street & Greenwich Street,"Spring Street, New York, NY 10013, United States of America"
Bowery and Prince Street,New York,Bowery and Prince Street,"Bowery, New York, NY 10012, United States of America"
Hudson Street & Spring Street,New York,Hudson Street & Spring Street,"Hudson Street, New York, NY 10014, United States of America"
Whitehall,New York,Whitehall,"Battery Park Underpass, New York, NY 10004, United States of America"
Madison Street & Jefferson Street,New York,Madison Street & Jefferson Street,"Madison Street, New York, NY 10002, United States of America"
Essex Street & Grand Street,New York,Essex Street & Grand Street,"Grand Street, New York, NY 10002, United States of America"
Allen Street & Delancey Street,New York,Allen Street & Delancey Street,"Allen Street, New York, NY 10002, United States of America"
Grand Street & Essex Street,New York,Grand Street & Essex Street,"Grand Street, New York, NY 10002, United States of America"
Essex Street & Grand Street,New York,Essex Street & Grand Street,"Essex Street, New York, NY 10002, United States of America"
Old Fulton Street & Elizabeth Place,New York,Old Fulton Street & Elizabeth Place,"Old Fulton Street, New York, NY 11201, United States of America"
Broadway & West Houston Street,New York,Broadway & West Houston Street,"Broadway, New York, NY 10003, United States of America"
Varick Street & Charlton Street,New York,Varick Street & Charlton Street,"Varick Street, New York, NY 10014, United States of America"
Allen Street & Delancey Street,New York,Allen Street & Delancey Street,"Allen Street, New York, NY 10002, United States of America"
Madison Street & Clinton Street,New York,Madison Street & Clinton Street,"Madison Street, New York, NY 10002, United States of America"
East Houston Street & Greene Street,New York,East Houston Street & Greene Street,"West Houston Street, New York, NY 10014, United States of America"
East Houston Street & Broadway,New York,East Houston Street & Broadway,"East Houston Street, New York, NY 10012, United States of America"
Delancey Street & Ludlow Street,New York,Delancey Street & Ludlow Street,"Delancey Street, New York, NY 10002, United States of America"
Delancey Street & Essex Street,New York,Delancey Street & Essex Street,"Delancey Street, New York, NY 10002, United States of America"
6th Avenue & Prince Street,New York,6th Avenue & Prince Street,"6th Avenue, New York, NY 10019, United States of America"
Broadway–Lafayette Street,New York,Broadway–Lafayette Street,"East Houston Street, New York, NY 10002, United States of America"
West Houston Street & Mercer Street,New York,West Houston Street & Mercer Street,"West Houston Street, New York, NY 10014, United States of America"
East Houston Street & Mulberry Street,New York,East Houston Street & Mulberry Street,"Mulberry Street, New York, NY 10012, United States of America"
N/A,New York,MacDougal Street,"New York, NY 10012, United States of America"
Delancey Street,New York,Delancey Street,"New York, NY 10002, United States of America"
West Houston Street & West Broadway,New York,West Houston Street & West Broadway,"West Houston Street, New York, NY 10014, United States of America"
East Houston Street & Crosby Street,New York,East Houston Street & Crosby Street,"East Houston Street, New York, NY 10012, United States of America"
East Houston Street and Mulberry Street,New York,East Houston Street and Mulberry Street,"East Houston Street, New York, NY 10002, United States of America"
Madison Street & Clinton Street,New York,Madison Street & Clinton Street,"Madison Street, New York, NY 10002, United States of America"
West Houston Street & LaGuardia Place,New York,West Houston Street & LaGuardia Place,"West Houston Street, New York, NY 10014, United States of America"
East Houston Street and Mulberry Street,New York,East Houston Street and Mulberry Street,"East Houston Street, New York, NY 10002, United States of America"
Essex Street,New York,Essex Street,"Delancey Street, New York, NY 10002, United States of America"
East Houston Street & Bowery,New York,East Houston Street & Bowery,"East Houston Street, New York, NY 10012, United States of America"
East Houston Street & Bowery,New York,East Houston Street & Bowery,"East Houston Street, New York, NY 10002, United States of America"
Broadway & Bleecker Street,New York,Broadway & Bleecker Street,"Broadway, New York, NY 10003, United States of America"
West Houston Street & MacDougal Street,New York,West Houston Street & MacDougal Street,"West Houston Street, New York, NY 10012, United States of America"
Essex Street & Rivington Street,New York,Essex Street & Rivington Street,"Essex Street, New York, NY 10002, United States of America"
Madison Street & Montgomery Street,New York,Madison Street & Montgomery Street,"Madison Street, New York, NY 10002, United States of America"
Bleecker Street,New York,Bleecker Street,"New York, NY 10012, United States of America"
East Houston Street & Forsyth Street,New York,East Houston Street & Forsyth Street,"East Houston Street, New York, NY 10002, United States of America"
Houston Street,New York,Houston Street,"Varick Street, New York, NY 10014, United States of America"
Allen St & Stanton St,New York,Allen St & Stanton St,"Allen Street, New York, NY 10002, United States of America"
West Houston Street & Hudson Street,New York,West Houston Street & Hudson Street,"West Houston Street, New York, NY 10014, United States of America"
6th Avenue & West Houston Street,New York,6th Avenue & West Houston Street,"6th Avenue, New York, NY 10014, United States of America"
2nd Avenue,New York,2nd Avenue,"East Houston Street, New York, NY 10002, United States of America"
Varick Street & Clarkson Street,New York,Varick Street & Clarkson Street,"Varick Street, New York, NY 10014, United States of America"
Allen Street & East Houston Street,New York,Allen Street & East Houston Street,"Allen Street, New York, NY 10002, United States of America"
Madison Street & Montgomery Street,New York,Madison Street & Montgomery Street,"Madison Street, New York, NY 10002, United States of America"
Hudson Street & West Houston Street,New York,Hudson Street & West Houston Street,"Hudson Street, New York, NY 10014, United States of America"
Old Fulton Street & Prospect Street,New York,Old Fulton Street & Prospect Street,"Old Fulton Street, New York, NY 11201, United States of America"
Grand Street & Samuel Dickstein Plaza,New York,Grand Street & Samuel Dickstein Plaza,"Grand Street, New York, NY 10002, United States of America"
Madison Street & Gouverneur Street,New York,Madison Street & Gouverneur Street,"Madison Street, New York, NY 10002, United States of America"
N/A,New York,East Houston Street,"New York, NY 10002, United States of America"
Bowery & East 2nd Street,New York,Bowery & East 2nd Street,"Bowery, New York, NY 10012, United States of America"
Bowery & Bond Street,New York,Bowery & Bond Street,"Bowery, New York, NY 10012, United States of America"
Broadway & West 3rd Street,New York,Broadway & West 3rd Street,"Broadway, New York, NY 10003, United States of America"
Avenue A & East Houston Street,New York,Avenue A & East Houston Street,"Essex Street, New York, NY 10002, United States of America"
Madison Street & Gouverneur Street,New York,Madison Street & Gouverneur Street,"Madison Street, New York, NY 10002, United States of America"
Cadman Plaza West & Middagh Street,New York,Cadman Plaza West & Middagh Street,"Cadman Plaza West, New York, NY 11201, United States of America"
1st Avenue & East 1st Street,New York,1st Avenue & East 1st Street,"1st Avenue, New York, NY 10002, United States of America"
2nd Avenue & East 3rd Street,New York,2nd Avenue & East 3rd Street,"2nd Avenue, New York, NY 10035, United States of America"
High Street,New York,High Street,"Cadman Plaza West, New York, NY 11201, United States of America"
Grand Street & Willett Street,New York,Grand Street & Willett Street,"Grand Street, New York, NY 10002, United States of America"
Bowery & East 4th Street,New York,Bowery & East 4th Street,"Bowery, New York, NY 10012, United States of America"
Cadman Plaza West @ Cadman Plaza Park,New York,Cadman Plaza West @ Cadman Plaza Park,"Cadman Plaza West, New York, NY 11201, United States of America"
Bowery & East 4th Street,New York,Bowery & East 4th Street,"Bowery, New York, NY 10012, United States of America"
N/A,New York,7th Avenue South,"New York, NY 10014, United States of America"
359 Madison Street @ Vladeck Houses,New York,359 Madison Street @ Vladeck Houses,"Madison Street, New York, NY 10002, United States of America"
East Houston Street & Avenue A,New York,East Houston Street & Avenue A,"Avenue A, New York, NY 10009, United States of America"
Clark Street,New York,Clark Street,"New York, NY 11201, United States of America"
1st Avenue & East 3rd Street,New York,1st Avenue & East 3rd Street,"1st Avenue, New York, NY 10009, United States of America"
6th Avenue & W 3rd Street,New York,6th Avenue & W 3rd Street,"6th Avenue, New York, NY 10014, United States of America"
356 Madison Street @ Vladeck Houses,New York,356 Madison Street @ Vladeck Houses,"Madison Street, New York, NY 10002, United States of America"
York Street,New York,York Street,"Jay Street, New York, NY 11201, United States of America"
Grand Street & Abraham Kazan Street,New York,Grand Street & Abraham Kazan Street,"Grand Street, New York, NY 10002, United States of America"
Avenue A & East 3rd Street,New York,Avenue A & East 3rd Street,"Avenue A, New York, NY 10009, United States of America"
East Houston Street & Avenue B,New York,East Houston Street & Avenue B,"East Houston Street, New York, NY 10002, United States of America"
East Houston Street & Clinton Street,New York,East Houston Street & Clinton Street,"East Houston Street, New York, NY 10002, United States of America"
Broadway & Waverly Place,New York,Broadway & Waverly Place,"Broadway, New York, NY 10003, United States of America"
Sands Street & Pearl Street,New York,Sands Street & Pearl Street,"Sands Street, New York, NY 11201, United States of America"
Jackson Street & Madison Street,New York,Jackson Street & Madison Street,"Jackson Street, New York, NY 10002, United States of America"
West 4th Street–Washington Square,New York,West 4th Street–Washington Square,"West 4th Street, New York, NY 10014, United States of America"
N/A,New York,Manhattan Bridge Pedestrian Path,"New York, NY 10002, United States of America"
2nd Avenue & East 6th Street,New York,2nd Avenue & East 6th Street,"2nd Avenue, New York, NY 10035, United States of America"
Avenue A & East 3rd Street,New York,Avenue A & East 3rd Street,"Avenue A, New York, NY 10009, United States of America"
1st Avenue & East 4th Street,New York,1st Avenue & East 4th Street,"1st Avenue, New York, NY 10009, United States of America"
NYU Trolley Stop,New York,NYU Trolley Stop,"Washington Square East, New York, NY 10012, United States of America"
Broadway & Waverly Place,New York,Broadway & Waverly Place,"Broadway, New York, NY 10003, United States of America"
Cadman Plaza West & Tillary Street,New York,Cadman Plaza West & Tillary Street,"Cadman Plaza West, New York, NY 11201, United States of America"
7th Avenue & Barrow Street,New York,7th Avenue & Barrow Street,"7th Avenue South, New York, NY 10014, United States of America"
Delancey Street & Columbia Street,New York,Delancey Street & Columbia Street,"Columbia Street, New York, NY 10009, United States of America"
Paulus Hook Ferry Terminal,Jersey City,Paulus Hook Ferry Terminal,"Paulus Hook Pier, Jersey City, NJ 07311, United States of America"
Avenue A & East 6th Street,New York,Avenue A & East 6th Street,"Avenue A, New York, NY 10009, United States of America"
Christopher Street & Washington Street,New York,Christopher Street & Washington Street,"Christopher Street, New York, NY 10014, United States of America"
East Houston Street & Ridge Street,New York,East Houston Street & Ridge Street,"East Houston Street, New York, NY 10002, United States of America"
Bridge Park Drive & Joralemon Street,New York,Bridge Park Drive & Joralemon Street,"Bridge Park Drive, New York, NY 11201, United States of America"
Christopher Street & Greenwich Street,New York,Christopher Street & Greenwich Street,"Christopher Street, New York, NY 10014, United States of America"
Lafayette Street & Astor Place,New York,Lafayette Street & Astor Place,"Lafayette Street, New York, NY 10003, United States of America"
Christopher Street,New York,Christopher Street,"New York, NY 10014, United States of America"
8th Street–New York University,New York,8th Street–New York University,"Broadway, New York, NY 10003, United States of America"
N/A,Jersey City,Paulus Hook Pier,"Jersey City, NJ 07311, United States of America"
Astor Place,New York,Astor Place,"Lafayette Street, New York, NY 10003, United States of America"
N/A,New York,East River Esplanade,"New York, NY 11251, United States of America"
Cadman Plaza West & Tillary Street,New York,Cadman Plaza West & Tillary Street,"Cadman Plaza West, New York, NY 11201, United States of America"
Exchange Place,Jersey City,Exchange Place,"Hudson River Waterfront Walkway, Jersey City, NJ 07311, United States of America"
East 8th Street & Mercer Street,New York,East 8th Street & Mercer Street,"East 8th Street, New York, NY 10003, United States of America"
Corlears Hook,New York,Corlears Hook,"East River Esplanade, New York, NY 11251, United States of America"
Hudson Street & Christopher Street,New York,Hudson Street & Christopher Street,"Hudson Street, New York, NY 10014, United States of America"
East 8th Street & Lafayette Street,New York,East 8th Street & Lafayette Street,"East 8th Street, New York, NY 10003, United States of America"
Christopher Street & Bleecker Street,New York,Christopher Street & Bleecker Street,"Christopher Street, New York, NY 10014, United States of America"
Brooklyn Bridge Park Pier 6/Atlantic Avenue,New York,Brooklyn Bridge Park Pier 6/Atlantic Avenue,"Brooklyn Bridge Park Greenway, New York, NY 11201, United States of America"
Avenue A & East 5th Street,New York,Avenue A & East 5th Street,"Avenue A, New York, NY 10009, United States of America"
West 10th Street & Washington Street,New York,West 10th Street & Washington Street,"West 10th Street, New York, NY 10014, United States of America"
East 8th Street & 5th Avenue,New York,East 8th Street & 5th Avenue,"East 8th Street, New York, NY 10003, United States of America"
West 10th Street & Greenwich Street,New York,West 10th Street & Greenwich Street,"West 10th Street, New York, NY 10014, United States of America"
Ilha dos governadores,New York,Ilha dos governadores,"Carder Road, New York, NY 10004, United States of America"
East 8th Street & 5th Avenue,New York,East 8th Street & 5th Avenue,"West 8th Street, New York, NY 10011, United States of America"
Ilha dos governadores,New York,Ilha dos governadores,"Carder Road, New York, NY 10004, United States of America"
Harborside,Jersey City,Harborside,"Hoboken Newport Walkway, Jersey City, NJ 07311, United States of America"
6th Avenue & Waverly Place,New York,6th Avenue & Waverly Place,"6th Avenue, New York, NY 10019, United States of America"
Christopher Street & 7th Avenue South,New York,Christopher Street & 7th Avenue South,"Christopher Street, New York, NY 10014, United States of America"
Saint Marks Place & 2nd Avenue,New York,Saint Marks Place & 2nd Avenue,"Saint Mark's Place, New York, NY 10003, United States of America"
Christopher Street–Sheridan Square,New York,Christopher Street–Sheridan Square,"Christopher Street, New York, NY 10014, United States of America"
Jay Street & Concord Street,New York,Jay Street & Concord Street,"Jay Street, New York, NY 11201, United States of America"
Jay Street & Concord Street,New York,Jay Street & Concord Street,"Concord Street, New York, NY 11201, United States of America"
N/A,New York,Gold Street,"New York, NY 11201, United States of America"
Soissons Landing,New York,Soissons Landing,"Carder Road, New York, NY 10004, United States of America"
Avenue C & East 3rd Street,New York,Avenue C & East 3rd Street,"Avenue C, New York, NY 10009, United States of America"
4th Avenue & East 9th Street,New York,4th Avenue & East 9th Street,"4th Avenue, New York, NY 10003, United States of America"
N/A,New York,York Street,"New York, NY 11251, United States of America"
West 8th Street & 6th Avenue,New York,West 8th Street & 6th Avenue,"West 8th Street, New York, NY 10011, United States of America"
East 9th Street & Broadway,New York,East 9th Street & Broadway,"East 9th Street, New York, NY 10003, United States of America"
2nd Avenue & Saint Marks Place,New York,2nd Avenue & Saint Marks Place,"2nd Avenue, New York, NY 10035, United States of America"
Christopher Street & Waverly Place,New York,Christopher Street & Waverly Place,"Christopher Street, New York, NY 10014, United States of America"
7th Avenue South and West 10th Street,New York,7th Avenue South and West 10th Street,"7th Avenue South, New York, NY 10014, United States of America"
East 9th Street & Cooper Square,New York,East 9th Street & Cooper Square,"East 9th Street, New York, NY 10003, United States of America"
Grand Street & FDR Drive,New York,Grand Street & FDR Drive,"Grand Street, New York, NY 11251, United States of America"
East 9th Street & 3rd Avenue,New York,East 9th Street & 3rd Avenue,"3rd Avenue, New York, NY 10003, United States of America"
Avenue C & East 3rd Street,New York,Avenue C & East 3rd Street,"Avenue C, New York, NY 10009, United States of America"
Sands Street & Gold Street,New York,Sands Street & Gold Street,"Sands Street, New York, NY 11251, United States of America"
Tillary Street & Adams Street,New York,Tillary Street & Adams Street,"Tillary Street, New York, NY 11201, United States of America"
West 10th Street & 7 Avenue South,New York,West 10th Street & 7 Avenue South,"West 10th Street, New York, NY 10014, United States of America"
West 9th Street & 5th Avenue,New York,West 9th Street & 5th Avenue,"West 9th Street, New York, NY 10011, United States of America"
Court Street,New York,Court Street,"Montague Street, New York, NY 11201, United States of America"
Exchange Place,Jersey City,Exchange Place,"Hudson Street, Jersey City, NJ 07311, United States of America"
Saint Marks Place & 1st Avenue,New York,Saint Marks Place & 1st Avenue,"Saint Mark's Place, New York, NY 10003, United States of America"
Avenue D & East Houston Street,New York,Avenue D & East Houston Street,"Columbia Street, New York, NY 10002, United States of America"
East 9th Street & 2nd Avenue,New York,East 9th Street & 2nd Avenue,"East 9th Street, New York, NY 10003, United States of America"
Sands Street & Gold Street,New York,Sands Street & Gold Street,"Sands Street, New York, NY 11251, United States of America"
Gold Street & Sands Street,New York,Gold Street & Sands Street,"Gold Street, New York, NY 11251, United States of America"
9th Street,New York,9th Street,"Christopher Street, New York, NY 10011, United States of America"
Christopher Columbus Drive at Hudson Street,Jersey City,Christopher Columbus Drive at Hudson Street,"Christopher Columbus Drive, Jersey City, NJ 07311, United States of America"
5th Avenue & West 10th street,New York,5th Avenue & West 10th street,"5th Avenue, New York, NY 10035, United States of America"
Greenwich Avenue & Christopher Street,New York,Greenwich Avenue & Christopher Street,"Christopher Street, New York, NY 10014, United States of America"
3rd Avenue & East 10th Street,New York,3rd Avenue & East 10th Street,"3rd Avenue, New York, NY 10035, United States of America"
Gold Street & Sands Street,New York,Gold Street & Sands Street,"Gold Street, New York, NY 11201, United States of America"
East Houston Street & Avenue D,New York,East Houston Street & Avenue D,"East Houston Street, New York, NY 10002, United States of America"
West 9th Street & 6th Avenue,New York,West 9th Street & 6th Avenue,"West 9th Street, New York, NY 10011, United States of America"
1st Avenue & East 9th Street,New York,1st Avenue & East 9th Street,"1st Avenue, New York, NY 10009, United States of America"
Saint Marks Place & Avenue A,New York,Saint Marks Place & Avenue A,"Avenue A, New York, NY 10009, United States of America"
Avenue D & East Houston Street,New York,Avenue D & East Houston Street,"Avenue D, New York, NY 10009, United States of America"
Liberty State Park,Jersey City,Liberty State Park,"Hudson River Waterfront Walkway, Jersey City, NJ 07311, United States of America"
Adams Street & Johnson Street,New York,Adams Street & Johnson Street,"Adams Street, New York, NY 11201, United States of America"
Harborside Financial Center,Jersey City,Harborside Financial Center,"Hudson Street, Jersey City, NJ 07311, United States of America"
3rd Avenue & East 10th Street,New York,3rd Avenue & East 10th Street,"3rd Avenue, New York, NY 10035, United States of America"
Hudson Street & Perry Street,New York,Hudson Street & Perry Street,"Hudson Street, New York, NY 10014, United States of America"
Avenue A & Saint Marks Place,New York,Avenue A & Saint Marks Place,"Avenue A, New York, NY 10009, United States of America"
Avenue A & East 9th Street,New York,Avenue A & East 9th Street,"Avenue A, New York, NY 10009, United States of America"
Montgomery Street at Greene Street,Jersey City,Montgomery Street at Greene Street,"Montgomery Street, Jersey City, NJ 07311, United States of America"
Avenue C & East 5th Street,New York,Avenue C & East 5th Street,"Avenue C, New York, NY 10009, United States of America"
Cadman Plaza West & Montague Street,New York,Cadman Plaza West & Montague Street,"Court Street, New York, NY 11231, United States of America"
Avenue C & East 6th Street,New York,Avenue C & East 6th Street,"Avenue C, New York, NY 10009, United States of America"
Avenue D & East 4th Street,New York,Avenue D & East 4th Street,"Avenue D, New York, NY 10009, United States of America"
Cadman Plaza West & Remsen Street,New York,Cadman Plaza West & Remsen Street,"Court Street, New York, NY 11231, United States of America"
7th Avenue South and Waverly Place,New York,7th Avenue South and Waverly Place,"7th Avenue South, New York, NY 10014, United States of America"
Essex Street,Jersey City,Essex Street,"Jersey City, NJ 07302, United States of America"
East 9th Street & Avenue A,New York,East 9th Street & Avenue A,"East 9th Street, New York, NY 10003, United States of America"
6th Avenue & W 10th Street,New York,6th Avenue & W 10th Street,"6th Avenue, New York, NY 10019, United States of America"
3rd Avenue & East 12th Street,New York,3rd Avenue & East 12th Street,"3rd Avenue, New York, NY 10035, United States of America"
Atlantic Avenue & Henry Street,New York,Atlantic Avenue & Henry Street,"Atlantic Avenue, New York, NY 11208, United States of America"
5th Avenue & West 12th Street,New York,5th Avenue & West 12th Street,"5th Avenue, New York, NY 10035, United States of America"
Borough Hall,New York,Borough Hall,"Joralemon Street, New York, NY 11201, United States of America"
East 10th Street & Avenue A,New York,East 10th Street & Avenue A,"East 10th Street, New York, NY 10009, United States of America"
Navy Street & Sands Street,New York,Navy Street & Sands Street,"Navy Street, New York, NY 11251, United States of America"
East 10th Street & Avenue A,New York,East 10th Street & Avenue A,"Avenue A, New York, NY 10009, United States of America"
Adams Street & Brooklyn Supreme Court,New York,Adams Street & Brooklyn Supreme Court,"Adams Street, New York, NY 11201, United States of America"
