Hotel Name,Distance from NYC
Pod 39,0
Comfort Inn Edgewater on Hudson River,7.52
Renaissance Meadowlands Hotel,8.5
"Distrikt Hotel New York City, Tapestry Collection by Hilton",0
King Hotel Brooklyn Sunset Park,4.41
Eurostars Wall Street,0
A place of home from home.,10.94
Hudson River Hotel,0
Element New York Wood Ridge,10.09
Hilton Garden Inn New York/Manhattan-Midtown East,0
"Crowne Plaza JFK Airport New York City, an IHG Hotel",11.26
The Manhattan at Times Square Hotel,0
The Holland Hotel,2.14
Ameritania Hotel at Times Square,0
Comfort Inn & Suites near Stadium,7.82
Untitled at 3 Freeman Alley,0
Motto by Hilton New York City Chelsea,0
Hilton Garden Inn New York/Times Square Central,0
The FIDI Hotel,0
Comfort Inn Brooklyn,9.71
"Hotel Indigo NYC Financial District, an IHG Hotel",0
Best Western Jamaica Inn,9.89
Home2 Suites by Hilton NY Long Island City/Manhattan View,4.7
"Hilton Garden Inn Westchester Dobbs Ferry, NY",21.49
The Boro Hotel,4.67
Comfort Inn & Suites LaGuardia Airport,5.43
Hyatt Centric Wall Street New York,0
Fairfield Inn New York Manhattan/Financial District,0
Quality Inn JFK Airport Rockaway Blvd,12.16
The Lodge Red Hook,2.27
"Holiday Inn Express & Suites Jersey City North - Hoboken, an IHG Hotel",3.9
Mam Homes ,13.62
Luxury Private Apartment—Walk to Train for NYC!,17.73
JG Sohotel,0
"The Time New York, part of JdV by Hyatt",0
"Hotel Nyack, a JdV by Hyatt Hotel",26.67
Four Points by Sheraton Midtown-Times Square,0
Hilton Garden Inn NYC Financial Center/Manhattan Downtown,0
Midtown West Hotel,0
The Wall Street Inn,0
Adria Hotel And Conference Center,13.32
Radisson Hotel JFK Airport,11.31
Liberty View Brooklyn hotel,3.77
Hyatt Place New York/Yonkers,16.74
Moxy NYC Lower East Side,0
The Lex NYC,0
Comfort Inn JFK Airport,10.93
The Fifty Sonesta Select New York,0
"Avion Inn Near LGA Airport, Ascend Hotel Collection",7.26
Residence Inn By Marriott West Orange,14.25
Courtyard Jersey City Newport,1.79
"Holiday Inn Express & Suites Jersey City - Holland Tunnel, an IHG Hotel",2.22
Dream Midtown,0
Ramada by Wyndham Bronx,14.7
Harmony Suites,5.55
Millennium Hilton New York One UN Plaza,0
The Hotel @ Fifth Avenue,0
Millennium Downtown New York,0
Doxie Hotel,0
Hotel Mulberry,0
Hampton Inn White Plains/Tarrytown,25.59
Residence Inn by Marriott Wayne,20.85
TownePlace Suites by Marriott New York Long Island City/Manhattan View,4.52
Corona Hotel,8.42
Hilton New York JFK Airport,11.44
Best Western Mill River Manor,19.1
Moderne Hotel,0
Residence Inn by Marriott White Plains Westchester County,25.42
Fairfield Inn & Suites by Marriott North Bergen,6.06
Fitzpatrick Manhattan Hotel,0
John Hotel,9.56
The Gallivant Times Square,0
Lic Plaza Hotel,4.49
Chelsea Inn,0
Renaissance New York Chelsea Hotel,0
Cambria Hotel White Plains - Downtown,25.49
"The Algonquin Hotel Times Square, Autograph Collection",0
"Hotel Indigo - NYC Downtown - Wall Street, an IHG Hotel",0
Newark Liberty International Airport Marriott,9.25
SpringHill Suites by Marriott Tarrytown Westchester County,25.65
"Holiday Inn Express New York City Times Square, an IHG Hotel",0
Grayson Hotel in the Unbound Collection by Hyatt,0
Hilton Garden Inn New York/Tribeca,0
Courtyard by Marriott New York World Trade Center Area,0
Radio Hotel,0
TBA Times Square,0
Five Towns Inn - JFK Airport,15.04
The Ridge Hotel,0
Pestana CR7 Times Square,0
HGU New York,0
Fitzpatrick Grand Central,0
Henn na Hotel New York,0
The Benjamin Royal Sonesta New York,0
Aloft Long Island City - Manhattan View,4.25
The Modernist Hotel,4.67
"Candlewood Suites New York City-Times Square, an IHG Hotel",0
La Quinta Inn & Suites by Wyndham Garden City,21.08
Radisson Hotel New Rochelle,18.31
Hyatt Place Long Island City/New York City,4.18
"Holiday Inn Express NYC Brooklyn - Sunset Park, an IHG Hotel",4.59
Best Western Plus Soho Hotel,0
"Club Quarters Hotel, World Trade Center",0
World Center Hotel,0
Aloft New York LaGuardia Airport,8.12
"Martinique New York on Broadway, Curio Collection by Hilton",0
The Mansion at Glen Cove,22.91
Courtyard by Marriott New York Manhattan/Times Square,0
Marco LaGuardia Hotel,9.81
YOTEL New York Times Square,0
"Holiday Inn Westbury - Long Island, an IHG Hotel",21.27
Hotel Le Bleu,2.91
Ink 48 Hotel,0
NH Collection New York Madison Avenue,0
"Crowne Plaza Times Square Manhattan, an IHG Hotel",0
Residence Inn Orangeburg,22.85
Hotel Richland LES,0
The Renwick,0
"Club Quarters Hotel, Grand Central",0
Hotel Boutique at Grand Central,0
Chelsea Mews Guest House All Male,0
"Holiday Inn Express Maspeth, an IHG Hotel",5.25
Very cozy and private retreat Estudio/apartment,18.81
Madison LES Hotel,0
Red Lion Inn & Suites Long Island City,4.25
Best Western Brooklyn-Coney Island Inn,8.98
Aliz Hotel Times Square,0
The Redbury New York,0
Selina Chelsea,0
Ravel Hotel Trademark Collection by Wyndham,4.12
Courtyard by Marriott New York City Manhattan Fifth Avenue,0
Courtyard by Marriott New York JFK Airport,11.55
Archer Hotel New York,0
SpringHill Suites by Marriott Tuckahoe Westchester County,19.27
Fairfield Inn by Marriott JFK Airport,12.26
"Insignia Hotel, Ascend Hotel Collection",5.34
Cachet Boutique New York,0
Red Roof PLUS+ Long Island - Garden City,21.18
Executive Hotel Le Soleil New York,0
Four Points by Sheraton Manhattan SoHo Village,0
Residence Inn Marriott New York Downtown Manhattan/WTC Area,0
"EVEN Midtown East Grand Central, an IHG Hotel",0
Hyatt Place Garden City,20.93
The Parc Hotel,9.52
Union Hotel,2.61
Pestana Park Avenue,0
Ramada by Wyndham New York Times Square West,0
Hotel 57,0
The James New York - NoMad,0
Courtyard by Marriott Rye,25.89
The Lombardy Hotel,0
Hilton Garden Inn New York/West 35th Street,0
DoubleTree by Hilton New York Midtown Fifth Ave,0
"Le Meridien New York, Fifth Avenue",0
Courtyard Westbury Long Island,21.93
Wyndham Garden Long Island City,3.81
Dream Downtown,0
Walker Hotel Tribeca,0
The Frederick Hotel,0
Hotel 369 Brooklyn,6.33
Hilton Pearl River,23.14
Hilton Garden Inn Westbury,21.91
"Homewood Suites by Hilton Carle Place - Garden City, NY",20.39
"The Draper New York, Tapestry Collection by Hilton",0
Wyndham Garden Brooklyn Sunset Park,4.22
Graduate New York,0
Hilton New York Fashion District,0
"Holiday Inn Express Roslyn - Manhasset Area, an IHG Hotel",18.84
Hilton Garden Inn Queens/JFK Airport,10.96
"Club Quarters, Times Square - Midtown",0
The Evelyn Hotel,0
Royalton New York,0
Mint House at 70 Pine,0
Hilton Garden Inn New York/Central Park South-Midtown West,0
Rockville Centre Hotel,18.63
The New Yorker A Wyndham Hotel,0
Fairfield Inn by Marriott New York Manhattan/Fifth Avenue,0
East Village Hotel,0
"voco Times Square South, an IHG Hotel",0
"Holiday Inn New York City - Times Square, an IHG Hotel",0
Mondrian Park Avenue,0
Residence Inn by Marriott Weehawken,4.49
Opera House Hotel,8.51
Wingate by Wyndham Bronx/Haven Park,8.02
Westgate New York Grand Central,0
Extended Stay America Suites New York City LaGuardia Airport,10.6
Hilton Garden Inn New York/Midtown Park Ave,0
Da Vinci Hotel,0
The Solita Soho Hotel,0
The One Boutique Hotel,9.93
Nesva Hotel,4.66
Hotel Edison Times Square,0
Hampton Inn Manhattan/Times Square South,0
Hotel Hendricks,0
DoubleTree by Hilton Hotel New York City - Chelsea,0
Park Terrace Hotel,0
Hilton Garden Inn Roslyn,19.41
"The Bernic Hotel New York City, Tapestry Collection by Hilton",0
"Holiday Inn NYC - Lower East Side, an IHG Hotel",0
Margaritaville Resort Times Square,0
Sheraton Tarrytown Hotel,25.63
Sonesta White Plains Downtown,25.38
La Quinta Inn & Suites by Wyndham Times Square South,0
New York Hilton Midtown,0
Fairfield Inn by Marriott New York Manhattan/Times Square,0
"The Lexington Hotel, Autograph Collection",0
Global Luxury Suites at The Arches,7.78
Sonder The Industrialist,2.69
Millennium Hotel Broadway Times Square,0
Sheraton New York Times Square Hotel,0
Residence Inn Woodbridge Edison/Raritan Center,18.69
Best Western Queens Gold Coast,13.28
The Westin New York Grand Central,0
Hyatt Place New York/Chelsea,0
Hyatt Centric Midtown 5th Avenue New York,0
"Hotel Indigo Lower East Side New York, an IHG Hotel",0
Springhill Suites by Marriott Carle Place Garden City,20.34
Pod Brooklyn,2.46
Canopy by Hilton Jersey City Arts District,1.85
"The Jewel, a Club Quarters Hotel, Opposite Rockefeller Center",0
Sonesta Simply Suites Jersey City,1.56
Sonder The William,0
The Bryant Park Hotel,0
"Holiday Inn Express Manhattan Times Square South, an IHG Hotel",0
CIVILIAN Hotel,0
SIXTY Lower East Side,0
Executive Class at MTS Hotel,0
